Date,Ebay,SP500,Tbill3wk
1/2/13,9.745098039,5.04,0.06
2/1/13,-2.251206003,1.11,0.1
3/1/13,-0.895631512,3.6,0.06
4/1/13,-3.375138325,1.81,0.05
5/1/13,3.263981676,2.08,0.03
6/3/13,-4.399260628,-1.5,0.03
7/1/13,-0.05800464,4.95,0.03
8/1/13,-3.288837299,-3.13,0.02
9/3/13,11.62232446,2.97,0
10/1/13,-5.537634409,4.46,0.03
11/1/13,-4.154809334,2.8,0.05
12/2/13,8.610451306,2.36,0.06
1/2/14,-3.0435575,-3.56,0.01
2/3/14,10.46992481,4.31,0.04
3/3/14,-6.006465884,0.69,0.03
4/1/14,-6.173062998,0.62,0.02
5/1/14,-2.122322979,2.1,0.03
6/2/14,-1.320717524,1.91,0.02
7/1/14,5.533359968,-1.51,0.02
8/1/14,5.053946621,3.77,0.02
9/2/14,2.036036036,-1.55,0.01
10/1/14,-7.292954265,2.32,0
11/3/14,4.533333333,2.45,0
12/1/14,2.259475219,-0.42,0.04
