Date,Ebay,SP500,Tbill3wk
1/2/13,9.75,5.04,0.06
2/1/13,-2.25,1.11,0.1
3/1/13,-0.90,3.6,0.06
4/1/13,-3.38,1.81,0.05
5/1/13,3.26,2.08,0.03
6/3/13,-4.40,-1.5,0.03
7/1/13,-0.06,4.95,0.03
8/1/13,-3.29,-3.13,0.02
9/3/13,11.62,2.97,0
10/1/13,-5.54,4.46,0.03
11/1/13,-4.15,2.8,0.05
12/2/13,8.61,2.36,0.06
1/2/14,-3.04,-3.56,0.01
2/3/14,10.47,4.31,0.04
3/3/14,-6.01,0.69,0.03
4/1/14,-6.17,0.62,0.02
5/1/14,-2.12,2.1,0.03
6/2/14,-1.32,1.91,0.02
7/1/14,5.53,-1.51,0.02
8/1/14,5.05,3.77,0.02
9/2/14,2.04,-1.55,0.01
10/1/14,-7.29,2.32,0
11/3/14,4.53,2.45,0
12/1/14,2.26,-0.42,0.04
